participant	steering_method	speed_method	hit	coin	time	direction	distance	altitude	sharpness	missdistance	traveldistance
P12	ControllerMethod	LeaningMethod	TRUE	10	108.2799	Left	Short	Same	Smooth	0	11305.87
P12	ControllerMethod	LeaningMethod	FALSE	11	113.8399	Right	Long	Down	Default	4.074564	12303.71
P12	ControllerMethod	LeaningMethod	TRUE	12	121.5599	Right	Long	Same	Smooth	0	12994.09
P12	ControllerMethod	LeaningMethod	TRUE	13	130.3599	Left	Medium	Down	Default	0	13906.35
P12	ControllerMethod	LeaningMethod	FALSE	14	133.2	Left	Short	Same	Default	11.89963	14201.03
P12	ControllerMethod	LeaningMethod	TRUE	15	137.6799	Right	Long	Up	Smooth	0	14834.67
P12	ControllerMethod	ControllerDistanceMethod	TRUE	0	0	Straight	Short	Same	Default	0	4503.928
P12	ControllerMethod	ControllerDistanceMethod	TRUE	1	4.119995	Straight	Medium	Up	Smooth	0	4907.513
P12	ControllerMethod	ControllerDistanceMethod	TRUE	2	10.26001	Left	Long	Same	Sharp	0	5516.931
P12	ControllerMethod	ControllerDistanceMethod	TRUE	3	12.73999	Left	Short	Down	Sharp	0	5719.872
P12	ControllerMethod	ControllerDistanceMethod	TRUE	4	14.29993	Straight	Short	Up	Default	0	5921.871
P12	ControllerMethod	ControllerDistanceMethod	TRUE	5	16.31995	Right	Short	Same	Default	0	6124.528
P12	ControllerMethod	ControllerDistanceMethod	TRUE	6	21.55994	Right	Long	Down	Smooth	0	6725.263
P12	ControllerMethod	ControllerDistanceMethod	TRUE	7	24.95996	Straight	Medium	Same	Smooth	0	7128.224
P12	ControllerMethod	ControllerDistanceMethod	TRUE	8	26.31995	Right	Short	Up	Smooth	0	7332.857
P12	ControllerMethod	ControllerDistanceMethod	TRUE	9	30.55994	Straight	Long	Same	Default	0	7938.747
P12	ControllerMethod	ControllerDistanceMethod	TRUE	10	32.45996	Left	Medium	Up	Sharp	0	8336.008
P12	ControllerMethod	ControllerDistanceMethod	TRUE	11	34.29993	Right	Short	Same	Sharp	0	8541.681
P12	ControllerMethod	ControllerDistanceMethod	TRUE	12	36.71997	Right	Medium	Up	Default	0	8948.658
P12	ControllerMethod	ControllerDistanceMethod	TRUE	13	42.27991	Left	Long	Down	Smooth	0	9552.82
P12	ControllerMethod	ControllerDistanceMethod	TRUE	14	45.65991	Left	Medium	Down	Sharp	0	9959.378
P12	ControllerMethod	ControllerDistanceMethod	TRUE	15	50.3999	Straight	Long	Down	Default	0	10563.02
P12	LeaningMethod	LeaningMethod	FALSE	0	0	Straight	Short	Same	Default	7.636581	3152.45
P12	LeaningMethod	LeaningMethod	TRUE	1	30.34009	Straight	Medium	Up	Smooth	0	4656.407
P12	LeaningMethod	LeaningMethod	TRUE	2	34.63989	Straight	Short	Up	Default	0	4887.854
P12	LeaningMethod	LeaningMethod	TRUE	3	37.21997	Straight	Short	Same	Default	0	5100.634
P12	LeaningMethod	LeaningMethod	TRUE	4	42.65991	Right	Medium	Same	Sharp	0	5518.621
P12	LeaningMethod	LeaningMethod	TRUE	5	50.87988	Left	Short	Up	Sharp	0	5724.088
P12	LeaningMethod	LeaningMethod	TRUE	6	57.43994	Right	Long	Same	Sharp	0	6351.715
P12	LeaningMethod	LeaningMethod	TRUE	7	60.34009	Left	Short	Up	Smooth	0	6558.917
P12	LeaningMethod	LeaningMethod	TRUE	8	66.17993	Left	Long	Down	Smooth	0	7318.289
P12	LeaningMethod	LeaningMethod	TRUE	9	70.93994	Straight	Long	Same	Smooth	0	7931.973
P12	LeaningMethod	LeaningMethod	TRUE	10	73.71997	Right	Medium	Down	Default	0	8340.272
P12	LeaningMethod	LeaningMethod	TRUE	11	77.02002	Right	Long	Down	Default	0	8939.446
P12	LeaningMethod	LeaningMethod	TRUE	12	78.54004	Right	Short	Same	Smooth	0	9142.515
P12	LeaningMethod	LeaningMethod	TRUE	13	87.73999	Straight	Medium	Up	Sharp	0	9553.777
P12	LeaningMethod	LeaningMethod	TRUE	14	92.15991	Left	Medium	Down	Default	0	10025.23
P12	LeaningMethod	LeaningMethod	TRUE	15	95.15991	Left	Long	Down	Sharp	0	10635.96
P12	LeaningMethod	ControllerDistanceMethod	TRUE	0	0	Straight	Short	Same	Default	0	2380.627
P12	LeaningMethod	ControllerDistanceMethod	TRUE	1	6.199951	Straight	Medium	Up	Smooth	0	2897.126
P12	LeaningMethod	ControllerDistanceMethod	TRUE	2	11.87988	Straight	Long	Up	Smooth	0	3507.094
P12	LeaningMethod	ControllerDistanceMethod	TRUE	3	15.45996	Straight	Medium	Same	Default	0	3909.087
P12	LeaningMethod	ControllerDistanceMethod	TRUE	4	19.35986	Right	Medium	Same	Sharp	0	4344.047
P12	LeaningMethod	ControllerDistanceMethod	TRUE	5	27.02002	Left	Long	Up	Default	0	4985.605
P12	LeaningMethod	ControllerDistanceMethod	TRUE	6	30.56006	Right	Short	Same	Default	0	5187.694
P12	LeaningMethod	ControllerDistanceMethod	TRUE	7	36.21997	Left	Long	Same	Sharp	0	5846.947
P12	LeaningMethod	ControllerDistanceMethod	TRUE	8	38.17993	Straight	Short	Down	Default	0	6048.143
P12	LeaningMethod	ControllerDistanceMethod	TRUE	9	45.34009	Right	Short	Up	Sharp	0	6388.865
P12	LeaningMethod	ControllerDistanceMethod	TRUE	10	48.87988	Left	Short	Up	Default	0	6595.958
P12	LeaningMethod	ControllerDistanceMethod	TRUE	11	54.43994	Left	Medium	Down	Smooth	0	7004.938
